Data,Total de vendas realizadas,Receita total de vendas,Valor médio dos pedidos,Despesas de marketing,Despesas de comissão,Receita total,Visitantes da loja,Clientes que fizeram um pedido,Novos clientes,Clientes recorrentes
2026-09-01,0,0,0,0,0,0,1,0,0,0
2026-09-02,0,0,0,0,0,0,20,0,0,0
2026-09-03,1,"112,76","158,37","22,19","10,57","134,95",44,2,1,0
2026-09-04,0,0,0,0,0,0,9,0,0,0
2026-09-05,1,"21,59","44,55","5,4","1,93","26,99",37,1,1,0
2026-09-06,0,0,0,0,0,"42,9",32,1,0,0
2026-09-07,0,0,0,0,0,0,18,1,0,0
2026-09-08,0,0,0,0,0,0,24,0,0,0
2026-09-09,1,28,"51,97","1,99","2,67","72,89",18,2,1,0
2026-09-10,0,0,0,0,0,0,15,0,0,0
2026-09-11,0,0,0,0,0,0,23,0,0,0
2026-09-12,0,0,0,0,0,0,20,0,0,0
2026-09-13,1,"38,41","52,03","4,49","3,82","42,9",25,1,1,0
2026-09-14,1,"35,91","56,38","3,99","3,56","39,9",20,1,1,0
2026-09-15,1,"121,87","174,94","9,99","11,74","131,86",16,1,1,0
2026-09-16,1,28,"50,97","1,99","2,67","29,99",18,1,1,0
2026-09-17,0,0,0,0,0,0,3,0,0,0
2026-09-18,1,28,"46,97","1,99","2,67","29,99",20,1,1,0
2026-09-19,1,"54,9","70,37","4,99","5,34","59,89",15,1,1,0
2026-09-20,2,"65,91",57,"6,98","6,49","72,89",25,2,2,0
2026-09-21,0,0,0,0,0,0,23,0,0,0
